priority_order,normalized_word,learner_rank,source_memberships,original_source_lemmas,rank_source,rank_source_version,rank_source_url,rank_source_license
671,plant,671,"[""ngsl-core""]","[""plant""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
672,paint,672,"[""ngsl-core""]","[""paint""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
673,worker,673,"[""ngsl-core""]","[""worker""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
674,press,674,"[""ngsl-core""]","[""press""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
675,whatever,675,"[""ngsl-core""]","[""whatever""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
676,necessary,676,"[""ngsl-core""]","[""necessary""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
677,region,677,"[""ngsl-core""]","[""region""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
678,growth,678,"[""ngsl-core""]","[""growth""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
679,evening,679,"[""ngsl-core""]","[""evening""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
680,influence,680,"[""ngsl-core""]","[""influence""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
681,respect,681,"[""ngsl-core""]","[""respect""]",New General Service List,1.2,https://www.newgeneralservicelist.com/new-general-service-list,CC BY-SA 4.0
